content,date posted
"Due soon for my first payable service after the 3-year free servicing. 60Tkm/4th year. 



Any outside workshop/contact you can recommend? Would appreciate. 



Thanks.",14-12-22
"CHEAP CAR SERVICING! $58 ONLY
					
				

				S$58 | Condition: New | TT MotorSport Promotion!! SHELL HELIX ULTRA ENGINE OIL 5W40 @ $58 Package include - 31 points check - 4L engine oil - Oil filter   - Labour - Engine bay wash - Brake fluid top up - Power steering fluid top up - Topup $15 for continental Oil filter   31-point car...

				
					
						
							
						
					
					www.carousell.sg
				
			
		
	


CHEAP CAR SERVICING! $58 ONLY",14-12-22
"fake_oranges said:
			
		
	
	
		
		
			CHEAP CAR SERVICING! $58 ONLY
		
		Click to expand...
	
Eh conti top up $15 at $73.



Still ok but you might want better grades. Peeps who own Hyundais are complaining that this motor oil causes the car to be sluggish after komoco uses it for their oil changes",17-12-22
Servotronics at Sin Ming. Used to service my old VW there some time back. They specialised in makes under the VW group.,20-12-22
"U bght new? 

if affordable, go back to them. Hard to trust outside ws.",20-12-22
"Avonez said:
			
		
	
	
		
		
			Servotronics at Sin Ming. Used to service my old VW there some time back. They specialised in makes under the VW group.
		
		Click to expand...
	
Went there today. Good and fast service.",20-12-22
Pls recommend me.,09-09-20
Shell autoserv sembawang. Oil change in an hour if u make advance appt,09-09-20
"woodlands alot, sembawang dunno",09-09-20
"Found one at Kaki bukit workshop. $33.30. Labour, filter, EO- 4L, safety checks. All in! Can find cheaper than this price? Let me know.



EO brand: Sinopec and S-oil- Locally formulated.",10-09-20
"Yishun industrial park. 

Labor $20. 



Bring your own oil n filter 



Posted from PCWX using never on bended knees",10-09-20
"myviowner said:
			
		
	
	
		
		
			Found one at Kaki bukit workshop. $33.30. Labour, filter, EO- 4L, safety checks. All in! Can find cheaper than this price? Let me know.



EO brand: Sinopec and S-oil- Locally formulated.
		
		Click to expand...
	


Address? Need to make appointment?? I dont mind change every month...",10-09-20
"hachi said:
			
		
	
	
		
		
			Address? Need to make appointment?? I dont mind change every month...
		
		Click to expand...
	


F1 Garage. 

8 Kaki Bukit Ave 4, #03-33 PREMIER @ KAKI BUKIT, Singapore 415875.



Better to make appt.",10-09-20
OK thanks...,10-09-20
Oh F1 garage. Always have such promo.,10-09-20
"zzt231 said:
			
		
	
	
		
		
			Yishun industrial park. 

Labor $20. 



Bring your own oil n filter 



Posted from PCWX using never on bended knees
		
		Click to expand...
	
Which workshop? Name? $20 is ok. 

Most workshop charge $30",10-09-20
"LouisSaha said:
			
		
	
	
		
		
			Which workshop? Name? $20 is ok. 

Most workshop charge $30
		
		Click to expand...
	


Bring own oil and filter, free labour also have. Only on Sundays.",10-09-20
"myviowner said:
			
		
	
	
		
		
			Bring own oil and filter, free labour also have. Only on Sundays.
		
		Click to expand...
	


Ah. That i haven't tried.",10-09-20
"myviowner said:
			
		
	
	
		
		
			Bring own oil and filter, free labour also have. Only on Sundays.
		
		Click to expand...
	


Yes yes, I normally bring my own oil and filter.

Bought a bulk and put at home.",10-09-20
"Std labor for norm svc excluding eo etc usually priced at 30$.



MY @ 20rm, well too bad 4nw.

:/",10-09-20
"Tks fyi- can pls share address?

Tia








	
		
			
				zzt231 said:
			
		
	
	
		
		
			Yishun industrial park. 

Labor $20. 



Bring your own oil n filter 



Posted from PCWX using never on bended knees
		
		Click to expand...",10-09-20
"LouisSaha said:
			
		
	
	
		
		
			Which workshop? Name? $20 is ok.

Most workshop charge $30
		
		Click to expand...
	







	
		
			
				Leave No Men Behind said:
			
		
	
	
		
		
			Tks fyi- can pls share address?

Tia
		
		Click to expand...
	






Drive into yishun indurstrial park. 



Ask them. 

I try 2 shops already

$20 labor. 



Forget name. 







Posted from PCWX using never on bended knees",10-09-20
"LouisSaha said:
			
		
	
	
		
		
			Yes yes, I normally bring my own oil and filter.

Bought a bulk and put at home.
		
		Click to expand...
	


Make appointment at Doctor Gearbox @ Kaki Bukit",10-09-20
"up......

due for 67/70k interval since Oct 2020...",17-02-21
"Hi folks,



I just used up my free servicings from Kah Motor and I don't intend to go back for my future servicings.



Unfortunately, my regular mech that I have been visiting for many years had retired.  So I am on the lookout for a new mech/workshop.



I prefer OMO (one man operation) or max 2-man team kind of workshops.  Through my own experience, only such workshops gave me personalised service which I really like.



Prefer workshops who are able to use OBD2 scanner, in case need to troubleshoot electronics related issues in future.



Thanks in advance!",08-11-20
"tek888 said:
			
		
	
	
		
		
			Hi folks,



I just used up my free servicings from Kah Motor and I don't intend to go back for my future servicings.



Unfortunately, my regular mech that I have been visiting for many years had retired.  So I am on the lookout for a new mech/workshop.



I prefer OMO (one man operation) or max 2-man team kind of workshops.  Through my own experience, only such workshops gave me personalised service which I really like.



Prefer workshops who are able to use OBD2 scanner, in case need to troubleshoot electronics related issues in future.



Thanks in advance!
		
		Click to expand...
	


You can try Whitesnail performance Workshop at kaki bukit. OMO workshop. Needs to make appt and if drive in directly may have to wait.

You can search it on fb.",08-11-20
"myviowner said:
			
		
	
	
		
		
			You can try Whitesnail performance Workshop at kaki bukit. OMO workshop. Needs to make appt and if drive in directly may have to wait.

You can search it on fb.
		
		Click to expand...
	


do they specialize in any car makes?",08-11-20
"myviowner said:
			
		
	
	
		
		
			You can try Whitesnail performance Workshop at kaki bukit. OMO workshop. Needs to make appt and if drive in directly may have to wait.

You can search it on fb.
		
		Click to expand...
	


Thanks bro.  Yes heard of them before",08-11-20
"villan said:
			
		
	
	
		
		
			do they specialize in any car makes?
		
		Click to expand...
	


I seen conti and non conti in the workshop before. Nowaday, most workshop can handle all makes.",08-11-20
Any more recommendations?,08-11-20
"Hi guys, my toyota altis is approaching 5 years now. Thinking of finding a reliable workshop outside instead of borneo. 



Anybody has any good and reliable workshop to recommend? Thanks!",03-11-22
Autosaver is one you can consider. Toyota is not hard to service at all.,03-11-22
"spider89 said:
			
		
	
	
		
		
			Hi guys, my toyota altis is approaching 5 years now. Thinking of finding a reliable workshop outside instead of borneo.



Anybody has any good and reliable workshop to recommend? Thanks!
		
		Click to expand...
	


all servicing same one la

just choose the cheapest

10 years old you going to scrap anyway

why spend more money than needed?

why take so good care for next owner?",04-11-22
"spider89 said:
			
		
	
	
		
		
			Hi guys, my toyota altis is approaching 5 years now. Thinking of finding a reliable workshop outside instead of borneo.



Anybody has any good and reliable workshop to recommend? Thanks!
		
		Click to expand...
	
Any workshop can do on Toyota ride. Is not complicated. 

Whitesnail Performance center at Kaki Bukit. FB search this workshop. Is a OMO shop, thus advised to make booking before heading down.",04-11-22
go to Garage R if you want to feel special,05-11-22
"depending on where u stay/work, look for the usual workshop clusters, e.g. Kakui Bukit, Ubi, Sin Ming, AMK and google. Normal servicing all standard abit over $100+",05-11-22
"Sparks, cheap and good since all comfort toyota taxi serviced by them.",07-11-22
"Thought of getting a coe car. 

Hopefully can get a workshop to service the car too. 



Currently don't have any workshops that I know of. 

Can recommend any? 

Those workshop boss, able to assist with car inspections for purchase too?",19-01-22
"Depends on the model of the car. Jap cars tend to be quite simple and almost any decent workshop will be able to do the servicing. Some workshops are more familiar with certain brands which is not a bad thing. if more of the owners of the same brand visit them, they might be able to diagnose common issues faster/have parts available on-site.



Pre-purchase inspection for used cars, last time I asked around was around $100 and the bigger shops can do any model of car. 



One way to do choose is to keep your options open. If you try this workshop today but don't feel comfortable with service/pricing/quality, then next time try another one, until you find someone you trust to work on your car. 

If your car is reliable, you only need to go WS once every 6 months. I stay in the East, last time explored WS in the West to East and now Sin Ming. I don't mind the distance since it is not a daily/weekly/monthly affair.",19-01-22
